[Username],[First Name],[Last Name],[Email],[RoutingProfileId],[SecurityProfileId],[HierarchyGroupId-Optional]
gchick,GREEDY,CHICK,michael.dez+gchick@gmail.com,Basic Routing Profile,Agent,,
wchicken,WILD,CHICKEN,michael.dez+wchicken@gmail.com,Basic Routing Profile,Agent,,
dfoxhound,DIRE,FOXHOUND,michael.dez+dfoxhound@gmail.com,Basic Routing Profile,Agent,,
gfox,GROWLING,FOX,michael.dez+gfox@gmail.com,Basic Routing Profile,Agent,,
aeagle,ARMORED,EAGLE,michael.dez+aeagle@gmail.com,Basic Routing Profile,Agent,,
rpuma,RUNNING,PUMA,michael.dez+rpuma@gmail.com,Basic Routing Profile,Agent,,
sbear,STUBBORN,BEAR,michael.dez+sbear@gmail.com,Basic Routing Profile,Agent,,
soctopus,SCOWLING,OCTOPUS,michael.dez+soctopus@gmail.com,Basic Routing Profile,Agent,,
gmantis,GOLDEN,MANTIS,michael.dez+gmantis@gmail.com,Basic Routing Profile,Agent,,
hbee,HUNTING,BEE,michael.dez+hbee@gmail.com,Basic Routing Profile,Agent,,
rscorpion,RABID,SCORPION,michael.dez+rscorpion@gmail.com,Basic Routing Profile,Agent,,
bpiranha,BULLET,PIRANHA,michael.dez+bpiranha@gmail.com,Basic Routing Profile,Agent,,
bdoberman,BITTER,DOBERMAN,michael.dez+bdoberman@gmail.com,Basic Routing Profile,Agent,,
craven,COPPER,RAVEN,michael.dez+craven@gmail.com,Basic Routing Profile,Agent,,
swolf,STALKING,WOLF,michael.dez+swolf@gmail.com,Basic Routing Profile,Agent,,
sshark,STEEL,SHARK,michael.dez+sshark@gmail.com,Basic Routing Profile,Agent,,
rorca,RAVING,ORCA,michael.dez+rorca@gmail.com,Basic Routing Profile,Agent,,
sspider,SMOKING,SPIDER,michael.dez+sspider@gmail.com,Basic Routing Profile,Agent,,
hhog,HUNGRY,HOG,michael.dez+hhog@gmail.com,Basic Routing Profile,Agent,,
shound,STRIKER,HOUND,michael.dez+shound@gmail.com,Basic Routing Profile,Agent,,
rbutterfly,RAZOR,BUTTERFLY,michael.dez+rbutterfly@gmail.com,Basic Routing Profile,Agent,,
costrich,CHARGING,OSTRITCH,michael.dez+costrich@gmail.com,Basic Routing Profile,Agent,,
btortoise,BLACK,TORTOISE,michael.dez+btortoise@gmail.com,Basic Routing Profile,Agent,,
